Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds	Annotation BUSCO Complete 	Annotation BUSCO Single Copy 	Annotation BUSCO Duplicated 	Annotation BUSCO Fragmented 	Annotation BUSCO Missing 	Annotation BUSCO Lineage 	Assembly Sequencing Tech	Assembly BioSample Accession	CheckM completeness	CheckM contamination
GCA_001928215.2	ASM192821v2	Xanthomonas oryzae pv. oryzae		BXO512					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-12-21		1							Oxford Nanopore MinION; Illumina MiSeq	SAMN03252503	95.15	0.21
GCF_001928215.2	ASM192821v2	Xanthomonas oryzae pv. oryzae		BXO512					GCF_001928215.2-RS_2024_05_12	Complete Genome	2020-12-21		1							Oxford Nanopore MinION; Illumina MiSeq	SAMN03252503	95.15	0.21
GCA_003428965.1	ASM342896v1	Xanthomonas oryzae pv. oryzae		SK2-3					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-08-27		1							PacBio	SAMN06255990	95.64	0.31
GCF_003428965.1	ASM342896v1	Xanthomonas oryzae pv. oryzae		SK2-3					GCF_003428965.1-RS_2024_05_06	Complete Genome	2018-08-27		1							PacBio	SAMN06255990	95.64	0.31
GCA_021228635.1	ASM2122863v1	Xanthomonas oryzae pv. oryzae		GXO2016					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-12-19		1							PacBio Sequel	SAMN23839250	95.61	0.24
GCF_021228635.1	ASM2122863v1	Xanthomonas oryzae pv. oryzae		GXO2016					GCF_021228635.1-RS_2024_05_06	Complete Genome	2021-12-19		1							PacBio Sequel	SAMN23839250	95.61	0.24
GCA_001928355.2	ASM192835v2	Xanthomonas oryzae pv. oryzae		DXO-091					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-08-03		2							Oxford Nanopore MiniION; Illumina MiSeq	SAMN03252542	94.83	0.25
GCF_001928355.2	ASM192835v2	Xanthomonas oryzae pv. oryzae		DXO-091					GCF_001928355.2-RS_2024_05_12	Complete Genome	2023-08-03		2							Oxford Nanopore MiniION; Illumina MiSeq	SAMN03252542	94.83	0.25
GCA_019915985.1	ASM1991598v1	Xanthomonas oryzae pv. oryzae		C9-3					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-09-09		1							PacBio RSII	SAMN15896830	95.61	0.24
GCF_019915985.1	ASM1991598v1	Xanthomonas oryzae pv. oryzae		C9-3					GCF_019915985.1-RS_2024_05_06	Complete Genome	2021-09-09		1							PacBio RSII	SAMN15896830	95.61	0.24
GCA_037846825.1	ASM3784682v1	Xanthomonas oryzae pv. oryzae		N1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-03-27		1							Illumina; PacBio	SAMN40559048	95.61	0.21
GCF_037846825.1	ASM3784682v1	Xanthomonas oryzae pv. oryzae		N1					GCF_037846825.1-RS_2024_05_06	Complete Genome	2024-04-05		1							Illumina; PacBio	SAMN40559048	95.61	0.21
GCA_003522605.1	ASM352260v1	Xanthomonas oryzae pv. oryzae		XM9					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-09-10		1							PacBio	SAMN06480557	95.26	0.21
GCF_003522605.1	ASM352260v1	Xanthomonas oryzae pv. oryzae		XM9					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-09-10		1							PacBio	SAMN06480557	95.26	0.21
GCA_004355705.1	ASM435570v1	Xanthomonas oryzae pv. oryzae		PXO513					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-03-19		1							PacBio	SAMN10261822	95.16	0.3
GCF_004355705.1	ASM435570v1	Xanthomonas oryzae pv. oryzae		PXO513					GCF_004355705.1-RS_2024_05_06	Complete Genome	2019-03-19		1							PacBio	SAMN10261822	95.16	0.3
GCA_003382775.1	ASM338277v1	Xanthomonas oryzae pv. oryzae		HuN37					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-08-14		1							PacBio	SAMN05953072	95.61	0.21
GCF_003382775.1	ASM338277v1	Xanthomonas oryzae pv. oryzae		HuN37					GCF_003382775.1-RS_2024_04_05	Complete Genome	2018-08-14		1							PacBio	SAMN05953072	95.61	0.21
GCA_004355745.1	ASM435574v1	Xanthomonas oryzae pv. oryzae		PXO404					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-03-19		1							PacBio	SAMN10261820	95.01	0.3
GCF_004355745.1	ASM435574v1	Xanthomonas oryzae pv. oryzae		PXO404					GCF_004355745.1-RS_2024_05_06	Complete Genome	2019-03-19		1							PacBio	SAMN10261820	95.01	0.3
GCA_022409615.1	ASM2240961v1	Xanthomonas oryzae pv. oryzae		CR1-5					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-02-28		1							PacBio	SAMN06256029	95.29	0.24
GCF_022409615.1	ASM2240961v1	Xanthomonas oryzae pv. oryzae		CR1-5					GCF_022409615.1-RS_2024_05_12	Complete Genome	2022-02-28		1							PacBio	SAMN06256029	95.29	0.24
GCA_004355725.1	ASM435572v1	Xanthomonas oryzae pv. oryzae		PXO421					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-03-19		1							PacBio	SAMN10261821	94.82	0.3
GCF_004355725.1	ASM435572v1	Xanthomonas oryzae pv. oryzae		PXO421					GCF_004355725.1-RS_2024_05_12	Complete Genome	2019-03-19		1							PacBio	SAMN10261821	94.82	0.3
GCA_003382875.1	ASM338287v1	Xanthomonas oryzae pv. oryzae		OS198					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-08-14		1							PacBio	SAMN05953144	94.78	0.21
GCF_003382875.1	ASM338287v1	Xanthomonas oryzae pv. oryzae		OS198					GCF_003382875.1-RS_2024_05_06	Complete Genome	2018-08-14		1							PacBio	SAMN05953144	94.78	0.21
GCA_001746595.1	ASM174659v1	Xanthomonas oryzae pv. oryzae		PXO71					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-09-26		1							PacBio	SAMN04306145	95.15	0.24
GCF_001746595.1	ASM174659v1	Xanthomonas oryzae pv. oryzae		PXO71					GCF_001746595.1-RS_2024_05_05	Complete Genome	2016-09-26		1							PacBio	SAMN04306145	95.15	0.24
GCA_004355805.1	ASM435580v1	Xanthomonas oryzae pv. oryzae		PXO364					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-03-19		1							PacBio	SAMN10261819	95.15	0.3
GCF_004355805.1	ASM435580v1	Xanthomonas oryzae pv. oryzae		PXO364					GCF_004355805.1-RS_2024_05_06	Complete Genome	2019-03-19		1							PacBio	SAMN10261819	95.15	0.3
GCA_003382795.1	ASM338279v1	Xanthomonas oryzae pv. oryzae		JL25					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-08-14		1							PacBio	SAMN05953089	95.78	0.21
GCF_003382795.1	ASM338279v1	Xanthomonas oryzae pv. oryzae		JL25					GCF_003382795.1-RS_2024_04_01	Complete Genome	2018-08-14		1							PacBio	SAMN05953089	95.78	0.21
GCA_003382835.1	ASM338283v1	Xanthomonas oryzae pv. oryzae		JL33					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-08-14		1							PacBio	SAMN05953096	95.78	0.21
GCF_003382835.1	ASM338283v1	Xanthomonas oryzae pv. oryzae		JL33					GCF_003382835.1-RS_2024_03_31	Complete Genome	2018-08-14		1							PacBio	SAMN05953096	95.78	0.21
GCA_001928485.2	ASM192848v2	Xanthomonas oryzae pv. oryzae		DXO-206					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-07-19		3							Oxford Nanopore MiniION; Illumina MiSeq	SAMN03252530	95.47	0.79
GCF_001928485.2	ASM192848v2	Xanthomonas oryzae pv. oryzae		DXO-206					GCF_001928485.2-RS_2024_08_08	Complete Genome	2023-07-19		3							Oxford Nanopore MiniION; Illumina MiSeq	SAMN03252530	95.47	0.79
GCF_011604785.1	ASM1160478v1	Xanthomonas oryzae pv. oryzae		K3a					GCF_011604785.1-RS_2024_05_06	Complete Genome	2020-03-22		1							Illumina	SAMN14362545	95.56	0.21
GCA_001928905.2	ASM192890v2	Xanthomonas oryzae pv. oryzae		IXO608					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-10-11		1							Oxford Nanopore MinION; Illumina MiSeq	SAMN03252578	95.69	0.21
GCF_001928905.2	ASM192890v2	Xanthomonas oryzae pv. oryzae		IXO608					GCF_001928905.2-RS_2024_05_12	Complete Genome	2022-10-11		1							Oxford Nanopore MinION; Illumina MiSeq	SAMN03252578	95.69	0.21
GCA_003382935.1	ASM338293v1	Xanthomonas oryzae pv. oryzae		YC11					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-08-14		1							PacBio	SAMN05953178	95.34	0.21
GCF_003382935.1	ASM338293v1	Xanthomonas oryzae pv. oryzae		YC11					GCF_003382935.1-RS_2024_04_01	Complete Genome	2018-08-14		1							PacBio	SAMN05953178	95.34	0.21
GCA_002895725.2	ASM289572v2	Xanthomonas oryzae pv. oryzae		ScYc-b					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-08-15		1							PacBio RS	SAMN03020243	95.66	0.21
GCF_002895725.2	ASM289572v2	Xanthomonas oryzae pv. oryzae		ScYc-b					GCF_002895725.2-RS_2024_03_31	Complete Genome	2018-08-15		1							PacBio RS	SAMN03020243	95.66	0.21
GCA_003932055.1	ASM393205v1	Xanthomonas oryzae pv. oryzae		ScYc-b					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-12-10		1							Illumina HiSeq; PacBio	SAMN06027714	95.69	0.21
GCF_003932055.1	ASM393205v1	Xanthomonas oryzae pv. oryzae		ScYc-b					GCF_003932055.1-RS_2024_05_06	Complete Genome	2018-12-10		1							Illumina HiSeq; PacBio	SAMN06027714	95.69	0.21
GCA_023586865.1	ASM2358686v1	Xanthomonas oryzae pv. oryzae		FY517					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-05-30		1							PacBio Sequel	SAMN28158595	93.79	0.24
GCF_023586865.1	ASM2358686v1	Xanthomonas oryzae pv. oryzae		FY517					GCF_023586865.1-RS_2024_05_12	Complete Genome	2022-05-30		1							PacBio Sequel	SAMN28158595	93.79	0.24
GCA_004355565.1	ASM435556v1	Xanthomonas oryzae pv. oryzae		CFBP7319					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-03-19		1							PacBio RSII	SAMN10254786	94.41	0.35
GCF_004355565.1	ASM435556v1	Xanthomonas oryzae pv. oryzae		CFBP7319					GCF_004355565.1-RS_2024_05_12	Complete Genome	2019-03-19		1							PacBio RSII	SAMN10254786	94.41	0.35
GCA_004322835.1	ASM432283v1	Xanthomonas oryzae pv. oryzae		CIX298					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-03-03		1							PacBio RSII	SAMN10960780	93.4	0.65
GCF_004322835.1	ASM432283v1	Xanthomonas oryzae pv. oryzae		CIX298					GCF_004322835.1-RS_2024_05_06	Complete Genome	2019-03-03		1							PacBio RSII	SAMN10960780	93.4	0.65
GCA_004355365.1	ASM435536v1	Xanthomonas oryzae pv. oryzae		CFBP7340					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-03-19		1							PacBio RSII	SAMN10254794	94.47	0.61
GCF_004355365.1	ASM435536v1	Xanthomonas oryzae pv. oryzae		CFBP7340					GCF_004355365.1-RS_2024_05_12	Complete Genome	2019-03-19		1							PacBio RSII	SAMN10254794	94.47	0.61
GCA_003031365.1	ASM303136v1	Xanthomonas oryzae pv. oryzae		MAI1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-04-03		1							PacBio	SAMN08225246	94.45	0.51
GCF_003031365.1	ASM303136v1	Xanthomonas oryzae pv. oryzae		MAI1					GCF_003031365.1-RS_2024_05_05	Complete Genome	2018-04-03		1							PacBio	SAMN08225246	94.45	0.51
GCA_004355605.1	ASM435560v1	Xanthomonas oryzae pv. oryzae		CFBP1949					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-03-19		1							PacBio RSII	SAMN10254783	94.26	0.71
GCF_004355605.1	ASM435560v1	Xanthomonas oryzae pv. oryzae		CFBP1949					GCF_004355605.1-RS_2024_05_06	Complete Genome	2019-03-19		1							PacBio RSII	SAMN10254783	94.26	0.71
GCA_004355385.1	ASM435538v1	Xanthomonas oryzae pv. oryzae		CFBP7325					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-03-19		1							PacBio RSII	SAMN10254792	94.4	0.81
GCF_004355385.1	ASM435538v1	Xanthomonas oryzae pv. oryzae		CFBP7325					GCF_004355385.1-RS_2024_05_06	Complete Genome	2019-03-19		1							PacBio RSII	SAMN10254792	94.4	0.81
GCA_009707765.1	ASM970776v1	Xanthomonas oryzae pv. oryzae		ITCCBB0002					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-11-25		1							PacBio	SAMN13318517	93.19	2.75
GCF_009707765.1	ASM970776v1	Xanthomonas oryzae pv. oryzae		ITCCBB0002					GCF_009707765.1-RS_2024_05_06	Complete Genome	2019-11-25		1							PacBio	SAMN13318517	93.19	2.75
GCA_002850175.1	ASM285017v1	Xanthomonas oryzae pv. oryzae		MAI134					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-01-03		1							PacBio	SAMN05757034	94.26	0.8
GCF_002850175.1	ASM285017v1	Xanthomonas oryzae pv. oryzae		MAI134					GCF_002850175.1-RS_2024_05_05	Complete Genome	2018-01-03		1							PacBio	SAMN05757034	94.26	0.8
GCA_004355485.1	ASM435548v1	Xanthomonas oryzae pv. oryzae		CFBP7337					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-03-19		1							PacBio RSII	SAMN10254793	94.11	0.81
GCF_004355485.1	ASM435548v1	Xanthomonas oryzae pv. oryzae		CFBP7337					GCF_004355485.1-RS_2024_05_06	Complete Genome	2019-03-19		1							PacBio RSII	SAMN10254793	94.11	0.81
GCA_004322815.1	ASM432281v1	Xanthomonas oryzae pv. oryzae		CIX2374					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-03-03		1							PacBio RSII	SAMN10960779	94.14	0.45
GCF_004322815.1	ASM432281v1	Xanthomonas oryzae pv. oryzae		CIX2374					GCF_004322815.1-RS_2024_05_06	Complete Genome	2019-03-03		1							PacBio RSII	SAMN10960779	94.14	0.45
GCA_004355405.1	ASM435540v1	Xanthomonas oryzae pv. oryzae		CFBP7323					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-03-19		1							PacBio RSII	SAMN10254790	94.45	0.65
GCF_004355405.1	ASM435540v1	Xanthomonas oryzae pv. oryzae		CFBP7323					GCF_004355405.1-RS_2024_05_06	Complete Genome	2019-03-19		1							PacBio RSII	SAMN10254790	94.45	0.65
GCA_024981335.1	ASM2498133v1	Xanthomonas oryzae pv. oryzae		CIX2779					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-09-06		2							Oxford Nanopore + Illumina NextSeq	SAMN29888038	94.19	0.48
GCF_024981335.1	ASM2498133v1	Xanthomonas oryzae pv. oryzae		CIX2779					GCF_024981335.1-RS_2024_05_06	Complete Genome	2022-09-06		2							Oxford Nanopore + Illumina NextSeq	SAMN29888038	94.19	0.48
GCA_004355285.1	ASM435528v1	Xanthomonas oryzae pv. oryzae		Ug11					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-03-19		1							PacBio RSII	SAMN10254798	94.37	0.35
GCF_004355285.1	ASM435528v1	Xanthomonas oryzae pv. oryzae		Ug11					GCF_004355285.1-RS_2024_05_06	Complete Genome	2019-03-19		1							PacBio RSII	SAMN10254798	94.37	0.35
GCA_004355325.1	ASM435532v1	Xanthomonas oryzae pv. oryzae		Dak16					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-03-19		1							PacBio RSII	SAMN10254796	94.47	0.65
GCF_004355325.1	ASM435532v1	Xanthomonas oryzae pv. oryzae		Dak16					GCF_004355325.1-RS_2024_05_06	Complete Genome	2019-03-19		1							PacBio RSII	SAMN10254796	94.47	0.65
GCA_004355305.1	ASM435530v1	Xanthomonas oryzae pv. oryzae		T19					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-03-19		1							PacBio RSII	SAMN10254797	94.4	0.35
GCF_004355305.1	ASM435530v1	Xanthomonas oryzae pv. oryzae		T19					GCF_004355305.1-RS_2024_05_06	Complete Genome	2019-03-19		1							PacBio RSII	SAMN10254797	94.4	0.35
GCA_004355505.1	ASM435550v1	Xanthomonas oryzae pv. oryzae		CFBP7324					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-03-19		1							PacBio RSII	SAMN10254791	94.41	0.65
GCF_004355505.1	ASM435550v1	Xanthomonas oryzae pv. oryzae		CFBP7324					GCF_004355505.1-RS_2024_05_06	Complete Genome	2019-03-19		1							PacBio RSII	SAMN10254791	94.41	0.65
GCA_004355545.1	ASM435554v1	Xanthomonas oryzae pv. oryzae		CFBP7320					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-03-19		1							PacBio RSII	SAMN10254787	94.17	0.35
GCF_004355545.1	ASM435554v1	Xanthomonas oryzae pv. oryzae		CFBP7320					GCF_004355545.1-RS_2024_05_06	Complete Genome	2019-03-19		1							PacBio RSII	SAMN10254787	94.17	0.35
GCA_003031385.1	ASM303138v1	Xanthomonas oryzae pv. oryzae		BAI3					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-04-03		1							PacBio	SAMN08225245	94.27	0.35
GCF_003031385.1	ASM303138v1	Xanthomonas oryzae pv. oryzae		BAI3					GCF_003031385.1-RS_2024_05_05	Complete Genome	2018-04-03		1							PacBio	SAMN08225245	94.27	0.35
GCA_004355425.1	ASM435542v1	Xanthomonas oryzae pv. oryzae		CFBP7321					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-03-19		1							PacBio RSII	SAMN10254788	94.39	0.35
GCF_004355425.1	ASM435542v1	Xanthomonas oryzae pv. oryzae		CFBP7321					GCF_004355425.1-RS_2024_05_06	Complete Genome	2019-03-19		1							PacBio RSII	SAMN10254788	94.39	0.35
GCA_004355525.1	ASM435552v1	Xanthomonas oryzae pv. oryzae		CFBP7322					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-03-19		1							PacBio RSII	SAMN10254789	94.62	0.55
GCF_004355525.1	ASM435552v1	Xanthomonas oryzae pv. oryzae		CFBP7322					GCF_004355525.1-RS_2024_05_06	Complete Genome	2019-03-19		1							PacBio RSII	SAMN10254789	94.62	0.55
GCA_002850135.1	ASM285013v1	Xanthomonas oryzae pv. oryzae		MAI106					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-01-03		1							PacBio	SAMN05757032	93.88	0.37
GCF_002850135.1	ASM285013v1	Xanthomonas oryzae pv. oryzae		MAI106					GCF_002850135.1-RS_2024_05_05	Complete Genome	2018-01-03		1							PacBio	SAMN05757032	93.88	0.37
GCA_002850195.1	ASM285019v1	Xanthomonas oryzae pv. oryzae		MAI95					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-01-03		1							PacBio	SAMN05757030	93.95	0.37
GCF_002850195.1	ASM285019v1	Xanthomonas oryzae pv. oryzae		MAI95					GCF_002850195.1-RS_2024_05_05	Complete Genome	2018-01-03		1							PacBio	SAMN05757030	93.95	0.37
GCA_004355445.1	ASM435544v1	Xanthomonas oryzae pv. oryzae		CFBP1951					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-03-19		1							PacBio RSII	SAMN10254784	94.46	0.27
GCF_004355445.1	ASM435544v1	Xanthomonas oryzae pv. oryzae		CFBP1951					GCF_004355445.1-RS_2024_05_06	Complete Genome	2019-03-19		1							PacBio RSII	SAMN10254784	94.46	0.27
GCA_002850075.1	ASM285007v1	Xanthomonas oryzae pv. oryzae		MAI73					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-01-03		1							PacBio	SAMN05757029	94.11	0.27
GCF_002850075.1	ASM285007v1	Xanthomonas oryzae pv. oryzae		MAI73					GCF_002850075.1-RS_2024_05_05	Complete Genome	2018-01-03		1							PacBio	SAMN05757029	94.11	0.27
GCA_002850095.1	ASM285009v1	Xanthomonas oryzae pv. oryzae		MAI145					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-01-03		1							PacBio	SAMN05757035	94.12	0.27
GCF_002850095.1	ASM285009v1	Xanthomonas oryzae pv. oryzae		MAI145					GCF_002850095.1-RS_2024_05_05	Complete Genome	2018-01-03		1							PacBio	SAMN05757035	94.12	0.27
GCA_002850155.1	ASM285015v1	Xanthomonas oryzae pv. oryzae		MAI129					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-01-03		1							PacBio	SAMN05757033	94.18	0.27
GCF_002850155.1	ASM285015v1	Xanthomonas oryzae pv. oryzae		MAI129					GCF_002850155.1-RS_2024_05_05	Complete Genome	2018-01-03		1							PacBio	SAMN05757033	94.18	0.27
GCA_002850115.1	ASM285011v1	Xanthomonas oryzae pv. oryzae		MAI68					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-01-03		1							PacBio	SAMN05757028	94.18	0.57
GCF_002850115.1	ASM285011v1	Xanthomonas oryzae pv. oryzae		MAI68					GCF_002850115.1-RS_2024_05_05	Complete Genome	2018-01-03		1							PacBio	SAMN05757028	94.18	0.57
GCA_002850215.1	ASM285021v1	Xanthomonas oryzae pv. oryzae		MAI99					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-01-03		1							PacBio	SAMN05757031	94.18	0.57
GCF_002850215.1	ASM285021v1	Xanthomonas oryzae pv. oryzae		MAI99					GCF_002850215.1-RS_2024_05_05	Complete Genome	2018-01-03		1							PacBio	SAMN05757031	94.18	0.57
GCA_003382815.1	ASM338281v1	Xanthomonas oryzae pv. oryzae		JL28					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-08-14		1							PacBio	SAMN05953090	91.68	0.21
GCF_003382815.1	ASM338281v1	Xanthomonas oryzae pv. oryzae		JL28					GCF_003382815.1-RS_2024_04_07	Complete Genome	2018-08-14		1							PacBio	SAMN05953090	91.68	0.21
GCA_004355585.1	ASM435558v1	Xanthomonas oryzae pv. oryzae		CFBP1952					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-03-19		1							PacBio RSII	SAMN10254785	94.43	0.67
GCF_004355585.1	ASM435558v1	Xanthomonas oryzae pv. oryzae		CFBP1952					GCF_004355585.1-RS_2024_05_06	Complete Genome	2019-03-19		1							PacBio RSII	SAMN10254785	94.43	0.67
GCA_001466505.1	ASM146650v1	Xanthomonas oryzae pv. oryzae		AXO1947					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2015-12-15		1							Illumina; PacBio	SAMN04287888	94.62	0.35
GCF_001466505.1	ASM146650v1	Xanthomonas oryzae pv. oryzae		AXO1947					GCF_001466505.1-RS_2024_05_05	Complete Genome	2015-12-15		1							Illumina; PacBio	SAMN04287888	94.62	0.35
GCA_004355465.1	ASM435546v1	Xanthomonas oryzae pv. oryzae		CFBP1948					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-03-19		1							PacBio RSII	SAMN10254782	94.49	0.35
GCF_004355465.1	ASM435546v1	Xanthomonas oryzae pv. oryzae		CFBP1948					GCF_004355465.1-RS_2024_05_12	Complete Genome	2019-03-19		1							PacBio RSII	SAMN10254782	94.49	0.35
GCA_004355345.1	ASM435534v1	Xanthomonas oryzae pv. oryzae		CFBP8172					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-03-19		1							PacBio RSII	SAMN10254795	94.24	0.7
GCF_004355345.1	ASM435534v1	Xanthomonas oryzae pv. oryzae		CFBP8172					GCF_004355345.1-RS_2024_05_06	Complete Genome	2019-03-19		1							PacBio RSII	SAMN10254795	94.24	0.7
GCA_000940825.1	ASM94082v1	Xanthomonas oryzae pv. oryzicola		CFBP7342					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2015-03-04		1							Pacific Biosciences	SAMN02640212	93.6	0.35
GCF_000940825.1	ASM94082v1	Xanthomonas oryzae pv. oryzicola		CFBP7342					GCF_000940825.1-RS_2024_05_05	Complete Genome	2015-03-04		1							Pacific Biosciences	SAMN02640212	93.6	0.35
GCA_001042835.1	ASM104283v1	Xanthomonas oryzae pv. oryzicola		CFBP7341					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2015-06-30		1							PacBio RS II	SAMN03612287	94.83	0.46
GCF_001042835.1	ASM104283v1	Xanthomonas oryzae pv. oryzicola		CFBP7341					GCF_001042835.1-RS_2024_05_05	Complete Genome	2015-06-30		1							PacBio RS II	SAMN03612287	94.83	0.46
GCA_038380135.1	ASM3838013v1	Xanthomonas oryzae pv. oryzicola		TanzP11-2L					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-04-18		1							PacBio RSII	SAMN40621677	95.3	0.3
GCF_038380135.1	ASM3838013v1	Xanthomonas oryzae pv. oryzicola		TanzP11-2L					GCF_038380135.1-RS_2024_05_06	Complete Genome	2024-04-20		1							PacBio RSII	SAMN40621677	95.3	0.3
